MeetingDate,PressConference,IsNew,MeetingType
20140219,0,No,Minute Date
20140409,1,No,Minute Date
20140521,0,No,Minute Date
20140709,1,No,Minute Date
20140820,0,No,Minute Date
20141008,1,No,Minute Date
20141119,0,No,Minute Date
20150107,1,No,Minute Date
20150218,0,No,Minute Date
20150408,1,No,Minute Date
20150520,0,No,Minute Date
20150708,1,No,Minute Date
20150819,0,No,Minute Date
20151008,1,No,Minute Date
20151118,0,No,Minute Date
20160106,1,No,Minute Date
20160217,0,No,Minute Date
20160406,1,No,Minute Date
20160518,0,No,Minute Date
20160706,1,No,Minute Date
20160817,0,No,Minute Date
20161012,1,No,Minute Date
20161123,0,No,Minute Date
20170104,1,No,Minute Date
20170222,0,No,Minute Date
20170405,1,No,Minute Date
20170524,0,No,Minute Date
20170705,1,No,Minute Date
20170816,0,No,Minute Date
20171011,1,No,Minute Date
20171122,0,No,Minute Date
20180103,1,No,Minute Date
20180221,0,No,Minute Date
20180411,1,No,Minute Date
20180523,0,No,Minute Date
20180705,1,No,Minute Date
20180822,0,No,Minute Date
20181017,1,No,Minute Date
20181129,0,No,Minute Date
20190109,1,No,Minute Date
20190220,1,No,Minute Date
20190410,1,No,Minute Date
20190522,1,No,Minute Date
20190710,1,No,Minute Date
20190821,1,No,Minute Date
20191009,1,No,Minute Date
20191120,1,No,Minute Date
20200103,1,No,Minute Date
20200219,1,No,Minute Date
20200408,1,No,Minute Date
20200520,1,No,Minute Date
20200701,1,No,Minute Date
20200819,1,No,Minute Date
20201007,1,No,Minute Date
20201126,1,No,Minute Date
