MeetingDate,MinuteNotesReleaseDate,PressConference,IsNew
20160727,20160817,0,No
20160921,20161012,1,No
20161102,20161123,0,No
20161214,20170104,1,No
20170201,20170222,0,No
20170315,20170405,1,No
20170503,20170524,0,No
20170614,20170705,1,No
20170726,20170816,0,No
20170920,20171011,1,No
20171101,20171122,0,No
20171213,20180103,1,No
20180131,20180221,0,No
20180321,20180411,1,No
20180502,20180523,0,No
20180613,20180705,1,No
20180801,20180822,0,No
20180926,20181017,1,No
20181108,20181129,0,No
20181219,20190109,1,No
20190130,20190220,1,No
20190320,20190410,1,No
20190501,20190522,1,No
20190619,20190710,1,No
20190731,20190821,1,No
20190918,20191009,1,No
20191030,20191120,1,No
20191211,20200103,1,No
20200129,20200219,1,No
20200315,20200408,1,No
20200429,20200520,1,No
20200610,20200701,1,No
20200729,20200819,1,No
20200916,20201007,1,No
20201105,20201126,1,No
